411,-378.1949,-1441.5237,25.4536,270.4365,-1,-1 ; infernus fazenda
411,-271.8330,-2191.2400,28.5022,112.8914,-1,-1 ; infernus fazenda
411,-1444.1295,-1536.1356,101.4849,0.6782,-1,-1 ; infernus fazenda
411,-1090.3734,-1616.2705,76.0943,272.3663,-1,-1 ; infernus fazenda
411,-1056.9167,-1199.1587,128.8640,269.5890,-1,-1 ; infernus fazenda
411,-1425.3302,-950.9592,200.8208,273.3093,-1,-1 ; infernus fazenda
411,-1052.5748,-674.8370,32.0787,272.9442,-1,-1 ; infernus fazenda
411,-503.3736,-548.0284,25.2505,185.3912,-1,-1 ; infernus fazenda
411,1535.7186,6.9795,23.5459,106.7702,-1,-1 ; infernus fazenda
411,1913.8594,145.3497,35.4778,158.8794,-1,-1 ; infernus fazenda
411,1237.3533,153.6106,19.7202,248.6401,-1,-1 ; infernus fazenda
411,-343.5058,-1053.0510,58.9875,177.3350,-1,-1 ; infernus fazenda
411,-2797.9551,-1512.2965,138.8391,268.2810,-1,-1 ; infernus fazenda
411,-394.2200,2239.0750,42.1569,287.4579,-1,-1 ; infernus fazenda
411,-932.3340,1422.5522,29.8564,271.2318,-1,-1 ; infernus fazenda
411,-698.1485,948.6971,12.0361,88.8923,-1,-1 ; infernus fazenda
411,306.4981,1138.0905,8.3130,269.4189,-1,-1 ; infernus fazenda
411,413.0312,1156.6816,7.6544,270.1140,-1,-1 ; infernus fazenda
411,717.3846,1199.0586,13.1203,264.3273,-1,-1 ; infernus fazenda
411,799.5513,1676.2692,5.0083,2.6885,-1,-1 ; infernus fazenda
411,-378.3779,-1445.5085,25.4536,267.9972,-1,-1 ; infernus fazenda 
411,-273.4615,-2186.5735,28.5124,110.5590,-1,-1 ; infernus fazenda 
411,-1439.8293,-1536.0652,101.4849,3.0155,-1,-1 ; infernus fazenda 
411,-1090.1434,-1621.0150,76.0943,274.1559,-1,-1 ; infernus fazenda 
411,-1056.1818,-1203.5923,128.8039,271.5743,-1,-1 ; infernus fazenda 
411,-1425.3730,-955.5543,200.7076,274.4175,-1,-1 ; infernus fazenda 
411,-1052.1919,-680.0458,32.0786,272.8335,-1,-1 ; infernus fazenda 
411,-508.8532,-548.4022,25.2505,183.1143,-1,-1 ; infernus fazenda 
411,1534.2642,10.9800,23.8576,109.6401,-1,-1 ; infernus fazenda 
411,1909.4507,146.2831,35.3085,157.2903,-1,-1 ; infernus fazenda 
411,1235.8263,149.8788,19.7433,250.5544,-1,-1 ; infernus fazenda 
411,-348.4349,-1052.9474,59.0339,179.9859,-1,-1 ; infernus fazenda 
411,-2798.0486,-1516.8726,138.8998,268.2412,-1,-1 ; infernus fazenda 
411,-392.5905,2235.0178,42.1568,289.7426,-1,-1 ; infernus fazenda 
411,-931.9619,1417.7349,29.8353,272.5359,-1,-1 ; infernus fazenda 
411,-697.9841,954.6122,12.0335,90.6135,-1,-1 ; infernus fazenda 
411,306.5631,1133.9489,8.5472,274.3882,-1,-1 ; infernus fazenda 
411,412.9806,1151.8364,7.9067,275.2211,-1,-1 ; infernus fazenda 
411,717.0004,1194.7057,13.1204,266.9314,-1,-1 ; infernus fazenda 
411,804.4789,1676.6769,5.0083,3.5992,-1,-1 ; infernus fazenda 


